DATE,PROFITS,INVESTMENT,RECESSION,PROFITS_YOY,INVEST_YOY,P_z,I_z
1948-03-31,35.747,47.202,0.0,6.815872826151903,31.650582919618444,-0.04907490183808094,1.9275944192793313
1948-06-30,37.589,50.336,0.0,18.69710749021094,45.880307201854784,0.6866081695915935,3.0544273717687735
1948-09-30,36.959,52.516,0.0,18.125159805676304,50.42823178940734,0.651193312369021,3.4145714749885845
1948-12-31,35.712,51.334,0.3333333333333333,4.656683175570753,18.691329479768793,-0.1827713836308265,0.9013683641537045
1949-03-31,32.519,43.14,1.0,-9.030128402383419,-8.605567560696581,-1.03025532485858,-1.2602366308429964
1949-06-30,28.692,36.241,1.0,-23.66915853042113,-28.001827717736806,-1.9367003999587995,-2.7962006921632367
1949-09-30,29.752,39.549,1.0,-19.499986471495458,-24.691522583593574,-1.6785463114020331,-2.5340620284785076
1949-12-31,29.205,37.468,0.3333333333333333,-18.220766129032274,-27.0113375150972,-1.5993373085342182,-2.7177650895250633
1950-03-31,33.477,46.749,0.0,2.945970048279456,8.365785813630055,-0.2886983115474883,0.08370228541607788
1950-06-30,39.923,52.291,0.0,39.143315209814574,44.286857426671446,1.9526322251343435,2.92824420200385
1950-09-30,48.501,58.641,0.0,63.017612261360576,48.274292649624506,3.430922712589908,3.2440038974147893
1950-12-31,53.221,68.441,0.0,82.23249443588428,82.66520764385608,4.620703399110204,5.967374745164835
1951-03-31,52.393,64.582,0.0,56.50446575260628,38.14627050846005,3.0276303138018816,2.44197928570438
1951-06-30,44.593,67.383,0.0,11.697517721614116,28.861563175307413,0.25319532611949963,1.7067356527495674
1951-09-30,40.666,61.981,0.0,-16.15430609678151,5.695673675414814,-1.4713826214584953,-0.12774034583286153
1951-12-31,43.868,57.084,0.0,-17.573890005824754,-16.593854560862642,-1.5592829011757454,-1.892818460764123
1952-03-31,41.59,58.132,0.0,-20.6191666825721,-9.987302963674082,-1.747845669461079,-1.3696544208728418
1952-06-30,39.667,53.004,0.0,-11.046576816989218,-21.339210186545564,-1.1551133051090843,-2.268596865478252
1952-09-30,39.898,57.22,0.0,-1.8885555500909645,-7.68138623126442,-0.5880509244433145,-1.187051939739762
1952-12-31,43.972,60.737,0.0,0.23707486094648456,6.399341321561214,-0.4564324223488438,-0.07201784021353062
1953-03-31,45.893,61.663,0.0,10.346237076220245,6.074107204293666,0.16952436736181672,-0.09777269767541334
1953-06-30,46.034,62.115,0.0,16.051125620793094,17.18926873443514,0.5227696356613559,0.7824221701929589
1953-09-30,45.077,61.435,0.6666666666666666,12.980600531354947,7.366305487591762,0.33264349199271437,0.004554766855174411
1953-12-31,35.591,56.446,1.0,-19.059856272173203,-7.06488631312051,-1.6512935598133585,-1.138232130642068
1954-03-31,38.019,55.717,1.0,-17.15730067766327,-9.642735514003531,-1.533487794426969,-1.3423685825148408
1954-06-30,39.141,55.449,0.6666666666666666,-14.973715080158145,-10.73170731707318,-1.3982807217174595,-1.4286028121943686
1954-09-30,41.473,58.971,0.0,-7.995208199303416,-4.010743061772615,-0.966173325368267,-0.8963785859786441
1954-12-31,44.539,62.139,0.0,25.14118737883173,10.08574566842646,1.085623980577951,0.21990362023484034
1955-03-31,49.715,68.702,0.0,30.76356558562825,23.305274871224224,1.4337602294501057,1.2667405670831122
1955-06-30,50.444,72.688,0.0,28.877647479624958,31.08983029450487,1.3169846531805482,1.8831891642202623
1955-09-30,51.731,74.747,0.0,24.734164396113133,26.752132404063023,1.060421219540439,1.5396926337220875
1955-12-31,53.871,78.882,0.0,20.952423718538803,26.94443103365036,0.8262567849767049,1.5549205066056175
1956-03-31,52.285,78.303,0.0,5.169465955948893,13.974847893802211,-0.1510200024392729,0.5278764562668177
1956-06-30,53.542,77.02,0.0,6.141463801443181,5.95971824785384,-0.0908341395542142,-0.10683100709593978
1956-09-30,50.939,78.267,0.0,-1.5309968877462277,4.709219099094275,-0.5659109817212173,-0.2058563725867756
1956-12-31,53.735,77.145,0.0,-0.25245493864973767,-2.202023275271936,-0.48674398480057524,-0.7531484701433764
1957-03-31,54.518,77.728,0.0,4.270823371903987,-0.7343269095692384,-0.20666372592766974,-0.6369235457302325
1957-06-30,52.239,77.907,0.0,-2.4336035262037314,1.1516489223578397,-0.6218001584649392,-0.48757562634242774
