DATE,WGDP_PC_LEVEL,GROWTH,TREND_10Y
1962-12-31,3888.29159725538,3.4810743780348874,
1963-12-31,3997.50675949066,2.808821290881869,
1964-12-31,4172.99519446874,4.389947172983377,
1965-12-31,4316.3173798596,3.434515946264005,
1966-12-31,4455.93898997768,3.2347391961853766,
1967-12-31,4528.50499309967,1.6285232649101866,3.019824038987331
1968-12-31,4699.95403476647,3.785996524858559,3.0176081974320024
1969-12-31,4878.08714093374,3.790103155256097,3.1716321245441836
1970-12-31,4958.11885150651,1.6406371649492657,2.734624972435684
1971-12-31,5057.47371736416,2.003882295549686,2.269262061004649
1972-12-31,5232.40748307238,3.4589159624816013,2.2765100525328363
1973-12-31,5459.96805336201,4.3490605620036815,2.333582500787623
1974-12-31,5461.05325760606,0.01987565189838225,2.185179240642467
1975-12-31,5394.47683822856,-1.2191131680463485,2.0351487964965758
1976-12-31,5572.88400718613,3.3072191114672522,1.879116836235741
1977-12-31,5695.44553318262,2.199247747458055,1.6902917182190946
1978-12-31,5826.55263463378,2.301963923407002,1.2010555701486891
1979-12-31,5959.96896192034,2.2897987137971754,0.8398637723378644
1980-12-31,5964.75586370683,0.0803175623409258,1.125192661184361
1981-12-31,5971.65297744192,0.11563111538321902,1.4334443047559853
1982-12-31,5886.05258547298,-1.4334455182224537,1.2497029790421388
1983-12-31,5929.44118559098,0.7371425838954337,1.2171548824811365
1984-12-31,6099.80378717708,2.873164540363349,1.2553919206414232
1985-12-31,6213.46773026879,1.8634032676698942,1.212985278391162
1986-12-31,6304.79364272511,1.4698058543287873,1.3014206461329436
1987-12-31,6422.93077166656,1.8737667818480297,1.2459729332024938
1988-12-31,6595.34370575744,2.6843343050098722,1.4324621611988864
1989-12-31,6718.39516299762,1.865732291294564,1.387251746249596
1990-12-31,6783.2055889084,0.9646712397587409,1.2818745685899202
1991-12-31,6753.43776156539,-0.4388460139212791,1.2579579772710514
1992-12-31,6782.57525009389,0.4314467617414719,1.3170395745138697
1993-12-31,6801.90819639893,0.2850384344025292,1.3751581553248515
1994-12-31,6925.66162192226,1.8193927637665919,1.2431282654462472
1995-12-31,7038.15080503049,1.624237354481206,1.2708290027207991
1996-12-31,7183.18047671902,2.06062182675697,1.4882181215053558
1997-12-31,7359.52415187358,2.4549525899578484,1.5999721096571884
1998-12-31,7459.91066703473,1.3640354062238291,1.6546289931433367
1999-12-31,7619.75713179924,2.142739664040083,1.8033100903270771
2000-12-31,7858.90796621259,3.138562427604308,1.9379347566345964
2001-12-31,7912.24589263937,0.6786938675970466,2.049514002001545
2002-12-31,7989.62889151096,0.9780155966029547,2.1590839872684064
2003-12-31,8131.19308358597,1.7718494062399337,2.2241365826242854
2004-12-31,8388.5973377126,3.165639426841782,2.168396360450404
2005-12-31,8618.44740525166,2.74002980815069,1.6994505049004627
2006-12-31,8890.47332913351,3.156321679425589,1.711600052207635
2007-12-31,9166.56507078682,3.1054785435166377,1.8524464443577238
2008-12-31,9240.5056265252,0.8066331844850172,1.8992122389736763
2009-12-31,9005.17592406812,-2.546718891459332,1.8848658828826923
2010-12-31,9298.74987325048,3.2600579006760277,1.7579466087355133
2011-12-31,9492.82945551876,2.0871577890979376,1.6739286585766788
2012-12-31,9630.06477941676,1.4456735427624823,1.5185960198622204
2013-12-31,9786.8793911809,1.6283858453300937,1.4368749881785325
2014-12-31,9972.48234099611,1.8964466853699902,1.5726348656119582
2015-12-31,10161.9445773234,1.899850306562345,1.9885858981826843
2016-12-31,10324.8400705021,1.6029952922810065,1.2777916851038051
2017-12-31,10561.1001052909,2.288268226679757,1.622052645605817
2018-12-31,10789.6668089725,2.1642319588192738,1.7284496396692728
2019-12-31,10963.6816310515,1.6127914342479288,1.7653449846533795
2020-12-31,10541.8118545305,-3.8478842301127636,1.7646566879669359
2021-12-31,11124.7495292116,5.529767394118057,
2022-12-31,11403.9410808157,2.5096434833970394,
2023-12-31,11631.716477221,1.9973392951711633,
2024-12-31,11851.505171614,1.8895637185055492,
