DATE,WGDP_PC_LEVEL
1961-12-31,3757.49055624486
1962-12-31,3888.29159725538
1963-12-31,3997.50675949066
1964-12-31,4172.99519446874
1965-12-31,4316.3173798596
1966-12-31,4455.93898997768
1967-12-31,4528.50499309967
1968-12-31,4699.95403476647
1969-12-31,4878.08714093374
1970-12-31,4958.11885150651
1971-12-31,5057.47371736416
1972-12-31,5232.40748307238
1973-12-31,5459.96805336201
1974-12-31,5461.05325760606
1975-12-31,5394.47683822856
1976-12-31,5572.88400718613
1977-12-31,5695.44553318262
1978-12-31,5826.55263463378
1979-12-31,5959.96896192034
1980-12-31,5964.75586370683
1981-12-31,5971.65297744192
1982-12-31,5886.05258547298
1983-12-31,5929.44118559098
1984-12-31,6099.80378717708
1985-12-31,6213.46773026879
1986-12-31,6304.79364272511
1987-12-31,6422.93077166656
1988-12-31,6595.34370575744
1989-12-31,6718.39516299762
1990-12-31,6783.2055889084
1991-12-31,6753.43776156539
1992-12-31,6782.57525009389
1993-12-31,6801.90819639893
1994-12-31,6925.66162192226
1995-12-31,7038.15080503049
1996-12-31,7183.18047671902
1997-12-31,7359.52415187358
1998-12-31,7459.91066703473
1999-12-31,7619.75713179924
2000-12-31,7858.90796621259
2001-12-31,7912.24589263937
2002-12-31,7989.62889151096
2003-12-31,8131.19308358597
2004-12-31,8388.5973377126
2005-12-31,8618.44740525166
2006-12-31,8890.47332913351
2007-12-31,9166.56507078682
2008-12-31,9240.5056265252
2009-12-31,9005.17592406812
2010-12-31,9298.74987325048
2011-12-31,9492.82945551876
2012-12-31,9630.06477941676
2013-12-31,9786.8793911809
2014-12-31,9972.48234099611
2015-12-31,10161.9445773234
2016-12-31,10324.8400705021
2017-12-31,10561.1001052909
2018-12-31,10789.6668089725
2019-12-31,10963.6816310515
2020-12-31,10541.8118545305
2021-12-31,11124.7495292116
2022-12-31,11403.9410808157
2023-12-31,11631.716477221
2024-12-31,11851.505171614
